leds[0][0].brightness, 0x00,
leds[5][1].brightness, 0x00,
leds[5][1].vx, 0x00000000,
leds[5][1].vy, 0x00000000,
leds[5][1].rx, 0x00000000,
leds[5][1].ry, 0x00000000,
leds[5][2].brightness, 0x00,
leds[5][2].vx, 0x00000000,
leds[5][2].vy, 0x00000000,
leds[5][2].rx, 0x00000000,
leds[5][2].ry, 0x00000000,
leds[5][3].brightness, 0x28,
leds[5][3].vx, 0x00000000,
leds[5][3].vy, 0x00000000,
leds[5][3].rx, 0x00000000,
leds[5][3].ry, 0x00000000,
leds[5][4].brightness, 0x28,
leds[5][4].vx, 0x00000000,
leds[5][4].vy, 0x00000000,
leds[5][4].rx, 0x00000000,
leds[5][4].ry, 0x00000000,
leds[5][5].brightness, 0x28,
leds[5][5].vx, 0x00000000,
leds[5][5].vy, 0x00000000,
leds[5][5].rx, 0x00000000,
leds[5][5].ry, 0x00000000,
leds[5][6].brightness, 0x28,
leds[5][6].vx, 0x00000000,
leds[5][6].vy, 0x00000000,
leds[5][6].rx, 0x00000000,
leds[5][6].ry, 0x00000000,
leds[5][7].brightness, 0x28,
leds[5][7].vx, 0x00000000,
leds[5][7].vy, 0x00000000,
leds[5][7].rx, 0x00000000,
leds[5][7].ry, 0x00000000,
leds[5][8].brightness, 0x28,
leds[5][8].vx, 0x00000000,
leds[5][8].vy, 0x00000000,
leds[5][8].rx, 0x00000000,
leds[5][8].ry, 0x00000000,
leds[5][9].brightness, 0x28,
leds[5][9].vx, 0x00000000,
leds[5][9].vy, 0x00000000,
leds[5][9].rx, 0x00000000,
leds[5][9].ry, 0x00000000,
leds[5][10].brightness, 0x28,
leds[5][10].vx, 0x00000000,
leds[5][10].vy, 0x00000000,
leds[5][10].rx, 0x00000000,
leds[5][10].ry, 0x00000000,
leds[5][11].brightness, 0x28,
leds[5][11].vx, 0x00000000,
leds[5][11].vy, 0x00000000,
leds[5][11].rx, 0x00000000,
leds[5][11].ry, 0x00000000,
leds[5][12].brightness, 0x28,
leds[5][12].vx, 0x00000000,
leds[5][12].vy, 0x00000000,
leds[5][12].rx, 0x00000000,
leds[5][12].ry, 0x00000000,
leds[5][13].brightness, 0x28,
leds[5][13].vx, 0x00000000,
leds[5][13].vy, 0x00000000,
leds[5][13].rx, 0x00000000,
leds[5][13].ry, 0x00000000,
leds[5][14].brightness, 0x00,
leds[5][14].vx, 0x00000000,
leds[5][14].vy, 0x00000000,
leds[5][14].rx, 0x00000000,
leds[5][14].ry, 0x00000000,
leds[5][15].brightness, 0x00,
leds[5][15].vx, 0x00000000,
leds[5][15].vy, 0x00000000,
leds[5][15].rx, 0x00000000,
leds[5][15].ry, 0x00000000,
leds[6][0].brightness, 0x00,
leds[6][0].vx, 0x00000000,
leds[6][0].vy, 0x00000000,
leds[6][0].rx, 0x00000000,
leds[6][0].ry, 0x00000000,
leds[6][1].brightness, 0x00,
leds[6][1].vx, 0x00000000,
leds[6][1].vy, 0x00000000,
leds[6][1].rx, 0x00000000,
leds[6][1].ry, 0x00000000,
leds[6][2].brightness, 0x28,
leds[6][2].vx, 0x00000000,
leds[6][2].vy, 0x00000000,
leds[6][2].rx, 0x00000000,
leds[6][2].ry, 0x00000000,
leds[6][3].brightness, 0x28,
leds[6][3].vx, 0x00000000,
leds[6][3].vy, 0x00000000,
leds[6][3].rx, 0x00000000,
leds[6][3].ry, 0x00000000,
leds[6][4].brightness, 0x28,
leds[6][4].vx, 0x00000000,
leds[6][4].vy, 0x00000000,
leds[6][4].rx, 0x00000000,
leds[6][4].ry, 0x00000000,
leds[6][5].brightness, 0x28,
leds[6][5].vx, 0x00000000,
leds[6][5].vy, 0x00000000,
leds[6][5].rx, 0x00000000,
leds[6][5].ry, 0x00000000,
leds[6][6].brightness, 0x28,
leds[6][6].vx, 0x00000000,
leds[6][6].vy, 0x00000000,
leds[6][6].rx, 0x00000000,
leds[6][6].ry, 0x00000000,
leds[6][7].brightness, 0x28,
leds[6][7].vx, 0x00000000,
leds[6][7].vy, 0x00000000,
leds[6][7].rx, 0x00000000,
leds[6][7].ry, 0x00000000,
leds[6][8].brightness, 0x28,
leds[6][8].vx, 0x00000000,
leds[6][8].vy, 0x00000000,
leds[6][8].rx, 0x00000000,
leds[6][8].ry, 0x00000000,
leds[6][9].brightness, 0x28,
leds[6][9].vx, 0x00000000,
leds[6][9].vy, 0x00000000,
leds[6][9].rx, 0x00000000,
leds[6][9].ry, 0x00000000,
leds[6][10].brightness, 0x28,
leds[6][10].vx, 0x00000000,
leds[6][10].vy, 0x00000000,
leds[6][10].rx, 0x00000000,
leds[6][10].ry, 0x00000000,
leds[6][11].brightness, 0x28,
